feasible_reaction_smarts,not_trained_on_but_known,known_from_valid_set,known_from_test_set,num_products_works_with,example_works_with_reaction_id
[#7;a:6]:[c;H0;D3;+0:5](:[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].C-[Sn](-C)(-C)-[c;H0;D3;+0:5](:[#7;a:6]):[c:7],True,False,True,1,US20120225857A1
[#7:5]-[C:4](=[O;D1;H0:6])-[CH;D3;+0:1](-[c:2])-[c:3]>>O-[C;H0;D4;+0:1](-[c:2])(-[c:3])-[C:4](-[#7:5])=[O;D1;H0:6],True,False,True,2,US08415370B2
[#7;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],True,False,True,1,US20150021590A1
[#7;a:6]:[c:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],True,False,True,1,US20090286778A1
[#7;a:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:6]-[c:7]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[#7;a:5].[NH2;D1;+0:6]-[c:7],True,False,True,1,US07435815B2
[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5],True,True,False,3,US20030171377A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,True,8,US07504412B2
[C;D1;H2:4]=[C:5]-[C:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C;D1;H2:4]=[C:5]-[C:6]-[NH2;D1;+0:7],True,True,True,2,US05302590
[C:1]-[C@H;D3;+0:2](-[C:3])-[OH;D1;+0:4]>>[C:1]-[C;H0;D3;+0:2](-[C:3])=[O;H0;D1;+0:4],True,True,False,7,US05232917
[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],True,True,True,4,US20110046134A1
[C:3]-[N;H0;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[C:3]-[NH2;D1;+0:4],True,False,True,3,US05663334
[#7;a:6]:[c:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8],True,False,True,8,US06429207B1
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]=[O;D1;H0:8]>>Cl-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8],True,True,False,1,US20110257100A1
[C:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[C:5]-[NH2;D1;+0:6],True,True,True,6,US20140242606A1
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:5]-[C:4]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],True,True,True,23,US20090264431A1
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]-[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]-[C:5],True,True,False,1,US06255276B1
[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:4]-[c:5]>>Br-[CH;D3;+0:1](-[C:2])-[C:3].[NH2;D1;+0:4]-[c:5],False,False,False,1,US20060160794A1
[#8:3]-[N;H0;D2;+0:4]=[CH;D2;+0:1]-[c:2]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[NH2;D1;+0:4],False,False,False,11,US20120035214A1
[#7;a:11]:[c:10]:[c:9]:[c;H0;D3;+0:7](:[c:8])-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#7;a:4]):[c:5]:[#7;a:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#7;a:4]):[c:5]:[#7;a:6].C-C1(-C)-O-B(-[c;H0;D3;+0:7](:[c:8]):[c:9]:[c:10]:[#7;a:11])-O-C-1(-C)-C,False,False,False,1,US20070149521A1
[#7;a:1]:[c:2]:[c:3](:[#7;a:4])-[C;H0;D3;+0:5](=[O;H0;D1;+0:6])-[c:7]>>[#7;a:1]:[c:2]:[c:3](:[#7;a:4])-[CH;D3;+0:5](-[OH;D1;+0:6])-[c:7],True,True,True,2,US20150105366A1
[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[C:3]>>C-S(=O)(=O)-O-[CH2;D2;+0:1]-[C:2].[C:3]-[OH;D1;+0:4],False,False,False,1,US20150174261A1
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[S;H0;D2;+0:4]-[c:5]>>Cl-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[SH;D1;+0:4]-[c:5],True,False,True,1,US06162809
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]=[O;D1;H0:7]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7],False,False,False,2,US08097634B2
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:5]-[C:4]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH2;D1;+0:5],True,False,True,1,US20140364433A1
[C;D1;H2:3]=[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,2,US07598386B2
[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[C;H0;D3;+0:6](-[C;D1;H3:7])=[O;H0;D1;+0:8]>>[#7;a:1]:[c:2]:[c:3](:[c:4]:[#7;a:5])-[CH;D3;+0:6](-[C;D1;H3:7])-[OH;D1;+0:8],True,False,True,1,US20090149483A1
[#7;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],True,False,True,1,US20090093479A1
[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6],False,False,False,1,US08436035B2
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:6](:[c:5]):[c:7]>>Br-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[c:5]:[nH;D2;+0:6]:[c:7],True,False,True,1,US20120039804A1
[O;D1;H0:4]=[C:5]-[N;H0;D3;+0:6](-[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]-[NH;D2;+0:6]-[c:7],True,False,True,1,US20030092712A1
[#16;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#16;a:4]):[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],True,True,True,4,US08178522B2
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[c;H0;D3;+0:5](:[c:6]):[c:7]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].O-B(-O)-[c;H0;D3;+0:5](:[c:6]):[c:7],True,True,True,26,US20150246922A1
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],True,True,True,102,US20100249066A1
[#7:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[O;H0;D2;+0:5]-[c:6]>>I-[CH2;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4].[O-;H0;D1:5]-[c:6],False,False,False,1,US04806145
[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,False,4,US06562989B2
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>Cl-[CH2;D2;+0:1]-[C:2].[NH2;D1;+0:3]-[c:4],True,False,True,1,US20080269210A1
[C:1]=[C:2]-[C:3]-[N;H0;D3;+0:4](-[C:5])-[C;H0;D3;+0:8](=[O;D1;H0:9])-[NH;D2;+0:7]-[C:6]>>[C:1]=[C:2]-[C:3]-[NH;D2;+0:4]-[C:5].[C:6]-[N;H0;D2;+0:7]=[C;H0;D2;+0:8]=[O;D1;H0:9],False,False,False,2,US09150582B2
[C:5]-[N;H0;D3;+0:6](-[C;D1;H3:7])-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C;D1;H3:7],True,False,True,1,US20090124598A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C;D1;H3:4])-[C;D1;H3:6]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C;D1;H3:4]-[NH;D2;+0:5]-[C;D1;H3:6],True,True,False,1,US20140329863A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C:4])-[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH;D2;+0:5]-[c:6],True,True,False,1,US20110015232A1
[#7;a:4]:[c:5]-[N;H0;D3;+0:6](-[C:7])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7;a:4]:[c:5]-[NH;D2;+0:6]-[C:7],True,True,True,2,US20100168185A1
[#7;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],True,True,True,8,US20110237573A1
[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[c:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[c:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5],False,False,False,10,US20010039351A1
[C:3]=[C:4]-[C:5](=[O;D1;H0:6])-[O;H0;D2;+0:7]-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[C:3]=[C:4]-[C:5](-[O-;H0;D1:6])=[O;D1;H0:7],False,False,False,1,US07368593B1
[#7:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[S;H0;D2;+0:6]-[C:5]>>Cl-[CH2;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4].[C:5]-[SH;D1;+0:6],True,False,True,1,US04216160
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[O;H0;D2;+0:5]-[c:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4].[OH;D1;+0:5]-[c:6],True,False,True,2,US08268820B2
[c:2]-[CH;D3;+0:1](-[c:3])-[O;H0;D2;+0:4]-[c:5]>>Br-[CH;D3;+0:1](-[c:2])-[c:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US06803374B2
[C:5]-[NH;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[NH2;D1;+0:6],True,True,True,7,US20110217311A1
[#16;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#16;a:4].[C:5]-[NH2;D1;+0:6],True,True,True,4,US08309542B2
[#8:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH;D3;+0:5](-[C;D1;H3:6])-[c:7]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[C;D1;H3:6])-[c:7],False,False,False,1,US20040006081A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[C;H0;D2;+0:6]#[C:5]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[C:5]#[CH;D1;+0:6],True,True,True,6,US08022062B2
[#7;a:4]:[c;H0;D3;+0:3](-[CH2;D2;+0:1]-[c:2]):[c:5]>>Br-[CH2;D2;+0:1]-[c:2].Br-[c;H0;D3;+0:3](:[#7;a:4]):[c:5],False,False,False,1,US20110183959A1
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[C;D1;H3:3]>>Br-[CH2;D2;+0:1]-[C:2].[C;D1;H3:3]-[NH2;D1;+0:4],True,True,False,3,US04024273
[#7;a:4]:[c:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3].[#7;a:4]:[c:5]-[NH2;D1;+0:6],False,False,False,8,US20110237573A1
[#7;a:1]:[c:2]-[C;H0;D3;+0:3](=[O;H0;D1;+0:4])-[c:5]>>[#7;a:1]:[c:2]-[CH;D3;+0:3](-[OH;D1;+0:4])-[c:5],True,True,False,1,US20080064715A1
[C:4]-[O;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[OH;D1;+0:5],True,True,True,6,US05811424
[#7:4]-[C:3]-[CH2;D2;+0:1]-[#7:2]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3]-[#7:4],False,False,False,2,US04012389
[c:2]-[CH2;D2;+0:1]-[S;H0;D2;+0:3]-[c:4]>>Cl-[CH2;D2;+0:1]-[c:2].[SH;D1;+0:3]-[c:4],False,False,False,1,US20040044057A1
[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[c:6]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[c:6],True,True,False,3,US20060270675A1
[#16;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,False,True,1,US20130085148A1
[#8:5]-[P;H0;D4;+0:4](-[#8:6])(=[O;H0;D1;+0:3])-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].C-C-[O;H0;D2;+0:3]-[P;H0;D3;+0:4](-[#8:5])-[#8:6],True,True,False,1,US05648373
[#7;a:6]:[c:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:8](-[C:7])-[C:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9],True,True,False,3,US20120121540A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3]:[c:4](:[#7;a:5]):[#7;a:6])-[NH;D2;+0:7]-[c:8]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4](:[#7;a:5]):[#7;a:6].[NH2;D1;+0:7]-[c:8],False,False,False,1,US20150252047A1
[#16;a:4]:[c:5]-[NH;D2;+0:6]-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[#7;a:3].[#16;a:4]:[c:5]-[NH2;D1;+0:6],False,False,False,5,US20100256097A1
[#7:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>Cl-[CH2;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4].[C:5]-[NH;D2;+0:6]-[C:7],True,True,True,6,US08513239B2
[C;D1;H2:5]=[C:4]-[C:2](=[O;D1;H0:3])-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C:4]=[C;D1;H2:5],True,False,True,1,US04204991
[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-[C:4]=[O;D1;H0:5]>>Cl-[CH2;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[OH;D1;+0:5],False,False,False,2,US06380387B1
[C:5]=[C:4]-[C:2](=[O;D1;H0:3])-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2](=[O;D1;H0:3])-[C:4]=[C:5],True,True,True,14,US08980877B2
[#7:6]-[N;H0;D2;+0:7]=[C;H0;D3;+0:1](-[C:2])-[c:3]:[c:4]:[#7;a:5]>>O=[C;H0;D3;+0:1](-[C:2])-[c:3]:[c:4]:[#7;a:5].[#7:6]-[NH2;D1;+0:7],True,True,False,1,US06350749B1
[#16:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](=[O;D1;H0:4])-[NH;D2;+0:6]-[C:5]>>[#16:1]-[N;H0;D2;+0:2]=[C;H0;D2;+0:3]=[O;D1;H0:4].[C:5]-[NH2;D1;+0:6],True,True,False,1,US04645527
[C:4]=[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:5]-[c:6]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[NH2;D1;+0:5]-[c:6],False,False,False,6,US20070123512A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[C;H0;D2;+0:6]#[C:5]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[C:5]#[CH;D1;+0:6],True,True,True,3,US20150133505A1
[#16;a:5]:[c:6]:[c:7]-[NH;D2;+0:8]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#16;a:5]:[c:6]:[c:7]-[NH2;D1;+0:8],True,True,True,2,US20110028469A1
[C:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,False,True,3,US20140171403A1
[O;D1;H0:5]=[CH;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-N(-C)-[CH;D2;+0:4]=[O;D1;H0:5],True,True,True,9,US04785004
[C;D1;H3:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:3]-[c:4]>>Cl-[CH2;D2;+0:1]-[C;D1;H3:2].[OH;D1;+0:3]-[c:4],False,False,False,1,US20090048258A1
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[O;H0;D2;+0:4]-[c:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[OH;D1;+0:4]-[c:5],True,False,True,4,US20150025068A1
[#8;a:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#8;a:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,False,True,1,US20090264482A1
[#7;a:4]:[c:5]:[c:6]-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[NH2;D1;+0:7],False,False,False,1,US08901118B2
[#8:4]-[C:5](=[O;D1;H0:6])-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[NH;D2;+0:7]-[C:8],True,True,False,3,US08394858B2
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[O;H0;D2;+0:5]-[c:6]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].[OH;D1;+0:5]-[c:6],True,False,True,1,US20060079520A1
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,1,US20130072506A1
[#7;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[#8:6])-[C;D1;H3:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#7;a:5].[#8:6]-[NH;D2;+0:7]-[C;D1;H3:8],True,True,True,2,US20140031355A1
[#7;a:2]:[c;H0;D3;+0:1](-[N;H0;D3;+0:7](-[C:6])-[C:8]):[c:3]:[c:4]:[#7;a:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[C:8],False,False,False,7,US20150057263A1
[#7;a:4]:[c:3](:[#7;a:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[#7;a:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8],True,True,False,1,US20120142665A1
[#7;a:2]:[c;H0;D3;+0:1](:[c:3]:[c:4]:[#7;a:5])-[NH;D2;+0:7]-[C:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[C:6]-[NH2;D1;+0:7],False,False,False,5,US05998665
[#7;a:5]:[n;H0;D3;+0:6](:[c:7])-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4]>>Cl-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[#7;a:5]:[nH;D2;+0:6]:[c:7],False,False,False,1,US07179823B1
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[S;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[SH;D1;+0:4]-[c:5],True,True,False,1,US06822100B2
[C:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[C:3]-[NH;D2;+0:4]-[C;D1;H3:5],True,True,True,7,US20150080438A1
[C:3]-[N;H0;D3;+0:4](-[C:5])-[CH2;D2;+0:1]-[C;D1;H3:2]>>I-[CH2;D2;+0:1]-[C;D1;H3:2].[C:3]-[NH;D2;+0:4]-[C:5],True,True,False,1,US05578612
[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:6]=[O;D1;H0:7])-[C:4]=[O;D1;H0:3]>>Br-[CH2;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[NH;D2;+0:5]-[C:6]=[O;D1;H0:7],False,False,False,3,US05061720
[c:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[NH2;D1;+0:4]-[c:5],True,True,True,3,US07148234B2
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[C:4])-[C;D1;H3:6]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C;D1;H3:6],False,False,False,2,US20080275021A1
[#7;a:4]:[c:5]:[c:6]-[O;H0;D2;+0:7]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]-[OH;D1;+0:7],True,True,True,2,US20140179715A1
[C:2]-[C@@H;D3;+0:1](-[C;D1;H3:3])-[O;H0;D2;+0:4]-[c:5]>>O-[C@@@H;D3;+0:1](-[C:2])-[C;D1;H3:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US20140187554A1
[C:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]-[C:4]>>[C:1]-[CH;D2;+0:2]=[CH;D2;+0:3]-[C:4],True,False,True,1,US20030134891A1
[#7;a:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:6]-[C:5]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6],True,True,True,3,US20060293344A1
[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH2;D1;+0:8],True,True,False,4,US20100311777A1
[c:4]:[n;H0;D3;+0:5](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[c:4]:[nH;D2;+0:5]:[c:6],True,True,False,3,US06069141
[C:5]-[N;H0;D3;+0:6](-[C;D1;H3:7])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH;D2;+0:6]-[C;D1;H3:7],True,True,True,2,US20110086853A1
